transaction_id,lifecycle
TX_42_0_1861,ORDER_CREATED (16:06:00.000) -> PAYMENT_ATTEMPTED (16:06:00.925) -> AUTHORIZATION_SUCCESS (16:06:02.231) -> CAPTURE_SUCCESS (16:06:03.219) -> WEBHOOK_RECEIVED (16:06:04.397) -> SETTLEMENT_CREATED (07:54:29.897) -> SETTLEMENT_COMPLETED (11:01:41.993)
TX_42_1001_6284,ORDER_CREATED (23:29:00.000) -> PAYMENT_ATTEMPTED (23:29:01.148) -> AUTHORIZATION_SUCCESS (23:29:03.694) -> CAPTURE_SUCCESS (23:29:03.978) -> WEBHOOK_RECEIVED (23:29:04.641) -> SETTLEMENT_CREATED (11:58:00.798) -> SETTLEMENT_COMPLETED (14:18:04.670)
TX_42_1002_1415,ORDER_CREATED (18:24:00.000) -> PAYMENT_ATTEMPTED (18:24:02.109) -> AUTHORIZATION_SUCCESS (18:24:03.366) -> CAPTURE_SUCCESS (18:24:04.013) -> WEBHOOK_RECEIVED (18:24:05.712) -> SETTLEMENT_CREATED (02:15:07.448) -> SETTLEMENT_COMPLETED (05:27:47.959)
TX_42_1003_8299,ORDER_CREATED (02:52:00.000) -> PAYMENT_ATTEMPTED (02:52:01.011) -> AUTHORIZATION_SUCCESS (02:52:02.020) -> CAPTURE_SUCCESS (02:52:02.958) -> WEBHOOK_RECEIVED (02:52:04.845) -> SETTLEMENT_CREATED (18:53:30.932) -> SETTLEMENT_COMPLETED (20:52:31.022)
TX_42_1004_6014,ORDER_CREATED (13:51:00.000) -> PAYMENT_ATTEMPTED (13:51:02.905) -> AUTHORIZATION_SUCCESS (13:51:07.248) -> CAPTURE_SUCCESS (13:51:07.895) -> WEBHOOK_RECEIVED (13:51:10.849) -> SETTLEMENT_CREATED (12:33:19.727) -> SETTLEMENT_COMPLETED (16:24:38.817)
TX_42_1005_5125,ORDER_CREATED (14:29:00.000) -> PAYMENT_ATTEMPTED (14:29:01.709) -> AUTHORIZATION_SUCCESS (14:29:05.403) -> CAPTURE_SUCCESS (14:29:05.565) -> WEBHOOK_RECEIVED (14:29:06.360) -> SETTLEMENT_CREATED (20:43:39.380) -> SETTLEMENT_COMPLETED (00:15:25.763)
TX_42_1006_6103,ORDER_CREATED (12:09:00.000) -> PAYMENT_ATTEMPTED (12:09:01.410) -> AUTHORIZATION_SUCCESS (12:09:02.781) -> CAPTURE_SUCCESS (12:09:03.699) -> WEBHOOK_RECEIVED (12:09:05.417) -> SETTLEMENT_CREATED (10:00:49.275) -> SETTLEMENT_COMPLETED (12:19:41.935)
TX_42_1007_1078,ORDER_CREATED (23:22:00.000) -> PAYMENT_ATTEMPTED (23:22:01.486) -> AUTHORIZATION_SUCCESS (23:22:04.603) -> CAPTURE_SUCCESS (23:22:05.338) -> WEBHOOK_RECEIVED (23:22:07.954) -> SETTLEMENT_CREATED (07:30:11.780) -> SETTLEMENT_COMPLETED (08:42:31.653)
TX_42_1009_3700,ORDER_CREATED (10:53:00.000) -> PAYMENT_ATTEMPTED (10:53:01.521) -> AUTHORIZATION_SUCCESS (10:53:04.708) -> CAPTURE_SUCCESS (10:53:05.094) -> WEBHOOK_RECEIVED (10:53:07.452) -> SETTLEMENT_CREATED (10:53:36.695) -> SETTLEMENT_COMPLETED (12:01:44.405)
TX_42_100_9534,ORDER_CREATED (10:16:00.000) -> PAYMENT_ATTEMPTED (10:16:00.599) -> AUTHORIZATION_SUCCESS (10:16:03.883) -> CAPTURE_SUCCESS (10:16:04.282) -> WEBHOOK_RECEIVED (10:16:05.571) -> SETTLEMENT_CREATED (03:52:28.321) -> SETTLEMENT_COMPLETED (05:10:22.863)
