event_id,transaction_id,order_id,merchant_id,event_type,timestamp,status,amount_paise,gateway,payment_method,metadata
EV_38bc12af,TX_42_0_1861,ORD_TX_42_0_1861,MERCH_92018_55,ORDER_CREATED,2023-12-05 16:06:00.000000,SUCCESS,170593.0,G1,UPI,{}
EV_4a543e36,TX_42_0_1861,ORD_TX_42_0_1861,MERCH_92018_55,PAYMENT_ATTEMPTED,2023-12-05 16:06:00.925289,PENDING,170593.0,G1,UPI,{}
EV_9494e2b9,TX_42_0_1861,ORD_TX_42_0_1861,MERCH_92018_55,AUTHORIZATION_SUCCESS,2023-12-05 16:06:02.231209,SUCCESS,170593.0,G1,UPI,{}
EV_f714e4d9,TX_42_0_1861,ORD_TX_42_0_1861,MERCH_92018_55,CAPTURE_SUCCESS,2023-12-05 16:06:03.219265,SUCCESS,170593.0,G1,UPI,{}
EV_83503331,TX_42_0_1861,ORD_TX_42_0_1861,MERCH_92018_55,WEBHOOK_RECEIVED,2023-12-05 16:06:04.397680,SUCCESS,,G1,UPI,{}
EV_c7a59d3b,TX_42_0_1861,ORD_TX_42_0_1861,MERCH_92018_55,SETTLEMENT_CREATED,2023-12-08 07:54:29.897337,PENDING,170593.0,G1,UPI,{}
EV_d2d43f4a,TX_42_0_1861,ORD_TX_42_0_1861,MERCH_92018_55,SETTLEMENT_COMPLETED,2023-12-08 11:01:41.993101,SUCCESS,170593.0,G1,UPI,{}
EV_629ebe2c,TX_42_1_4373,ORD_TX_42_1_4373,MERCH_59115_95,ORDER_CREATED,2023-06-25 12:34:00.000000,SUCCESS,376343.0,G1,CARD,{}
EV_c102c9f8,TX_42_1_4373,ORD_TX_42_1_4373,MERCH_59115_95,PAYMENT_ATTEMPTED,2023-06-25 12:34:00.860197,PENDING,376343.0,G1,CARD,{}
EV_e7ed7d39,TX_42_1_4373,ORD_TX_42_1_4373,MERCH_59115_95,AUTHORIZATION_SUCCESS,2023-06-25 12:34:02.954759,SUCCESS,376343.0,G1,CARD,{}
EV_b4318f74,TX_42_1_4373,ORD_TX_42_1_4373,MERCH_59115_95,CAPTURE_SUCCESS,2023-06-25 12:34:03.493810,SUCCESS,376343.0,G1,CARD,{}
EV_c1407e9c,TX_42_1_4373,ORD_TX_42_1_4373,MERCH_59115_95,WEBHOOK_RECEIVED,2023-06-25 12:34:04.199491,SUCCESS,,G1,CARD,{}
EV_83bb3283,TX_42_1_4373,ORD_TX_42_1_4373,MERCH_59115_95,SETTLEMENT_CREATED,2023-06-27 03:16:41.086769,PENDING,376343.0,G1,CARD,{}
EV_0ad33d5c,TX_42_1_4373,ORD_TX_42_1_4373,MERCH_59115_95,SETTLEMENT_COMPLETED,2023-06-27 06:44:42.803850,SUCCESS,376343.0,G1,CARD,{}
EV_cf5371ec,TX_42_2_7324,ORD_TX_42_2_7324,MERCH_92018_55,ORDER_CREATED,2023-09-27 19:24:00.000000,SUCCESS,252589.0,G2,CARD,{}
EV_a00f6b35,TX_42_2_7324,ORD_TX_42_2_7324,MERCH_92018_55,PAYMENT_ATTEMPTED,2023-09-27 19:24:02.655507,PENDING,252589.0,G2,CARD,{}
EV_13779a2f,TX_42_2_7324,ORD_TX_42_2_7324,MERCH_92018_55,AUTHORIZATION_SUCCESS,2023-09-27 19:24:07.015939,SUCCESS,252589.0,G2,CARD,{}
EV_0fa3c9ee,TX_42_2_7324,ORD_TX_42_2_7324,MERCH_92018_55,CAPTURE_SUCCESS,2023-09-27 19:24:08.006445,SUCCESS,252589.0,G2,CARD,{}
EV_0277d9e5,TX_42_2_7324,ORD_TX_42_2_7324,MERCH_92018_55,WEBHOOK_RECEIVED,2023-09-27 19:24:10.730243,SUCCESS,,G2,CARD,{}
EV_59700d3d,TX_42_2_7324,ORD_TX_42_2_7324,MERCH_92018_55,SETTLEMENT_CREATED,2023-09-29 04:46:15.504418,PENDING,252589.0,G2,CARD,{}
EV_74994d74,TX_42_2_7324,ORD_TX_42_2_7324,MERCH_92018_55,SETTLEMENT_COMPLETED,2023-09-29 07:14:20.943822,SUCCESS,252589.0,G2,CARD,{}
EV_8a4b3f48,TX_42_4_2630,ORD_TX_42_4_2630,MERCH_69040_53,ORDER_CREATED,2023-02-27 09:31:00.000000,SUCCESS,101173.0,G1,NETBANKING,{}
EV_0d8f5022,TX_42_4_2630,ORD_TX_42_4_2630,MERCH_69040_53,PAYMENT_ATTEMPTED,2023-02-27 09:31:02.635652,PENDING,101173.0,G1,NETBANKING,{}
EV_7d63d945,TX_42_4_2630,ORD_TX_42_4_2630,MERCH_69040_53,AUTHORIZATION_SUCCESS,2023-02-27 09:31:05.261879,SUCCESS,101173.0,G1,NETBANKING,{}
EV_343e782c,TX_42_4_2630,ORD_TX_42_4_2630,MERCH_69040_53,CAPTURE_SUCCESS,2023-02-27 09:31:06.174751,SUCCESS,101173.0,G1,NETBANKING,{}
