transaction_id,retry_count,failed_attempt_count,time_to_webhook,amount_paise,gateway,payment_method
TX_42_0_1861,0,0,4.39768,170593,G1,UPI
TX_42_1001_6284,0,0,4.641345,202993,G3,UPI
TX_42_1002_1415,0,0,5.712529,420789,G3,UPI
TX_42_1003_8299,0,0,4.845667,326589,G4,UPI
TX_42_1004_6014,0,0,10.849553,171975,G1,WALLET
TX_42_1005_5125,0,0,6.36001,400462,G1,WALLET
TX_42_1006_6103,0,0,5.417166,167402,G2,UPI
TX_42_1007_1078,0,0,7.954093,430187,G1,WALLET
TX_42_1009_3700,0,0,7.45299,148583,G1,WALLET
TX_42_100_9534,0,0,5.571451,215118,G3,UPI
TX_42_1010_2805,0,0,7.193936,269442,G3,NETBANKING
TX_42_1011_6515,0,0,8.075839,305647,G1,WALLET
TX_42_1014_6456,0,0,7.941046,390963,G2,UPI
TX_42_1015_1110,1,1,149.832636,524266,G1,NETBANKING
TX_42_1016_1284,1,1,299.210909,181515,G1,UPI
TX_42_1017_9633,0,0,8.488119,206938,G4,UPI
TX_42_1018_4405,0,0,5.757428,112906,G2,CARD
TX_42_1019_3200,0,0,4.984467,150264,G2,UPI
TX_42_101_9627,0,0,7.545994,393282,G3,CARD
TX_42_1020_1368,0,0,7.872489,59896,G1,UPI
TX_42_1021_2050,0,0,7.352608,340026,G1,UPI
TX_42_1024_7508,0,0,7.685348,182747,G2,UPI
TX_42_1027_1372,0,0,8.19113,155210,G1,NETBANKING
TX_42_102_5887,0,0,9.014357,39996,G1,UPI
TX_42_1030_6922,1,1,140.00955,115247,G2,UPI
TX_42_1031_5986,0,0,8.31712,381145,G3,CARD
TX_42_1032_5274,0,0,7.251335,605012,G3,NETBANKING
TX_42_1033_5001,0,0,6.158517,445709,G3,UPI
TX_42_1036_2378,0,0,6.283402,222522,G3,CARD
TX_42_1037_7306,0,0,3.417581,240175,G1,UPI
TX_42_1039_5568,0,0,9.372409,92249,G1,UPI
TX_42_1040_8423,0,0,9.9513,383506,G3,CARD
TX_42_1041_4447,0,0,7.411731,358535,G1,NETBANKING
TX_42_1042_5864,1,1,256.076264,412170,G2,UPI
TX_42_1043_8479,0,0,7.087352,99409,G2,CARD
TX_42_1045_8929,0,0,8.225701,423285,G2,CARD
TX_42_1046_7407,1,1,44.213549,140551,G2,UPI
TX_42_1047_2634,0,0,5.321295,206420,G1,UPI
TX_42_1049_9316,0,0,5.537848,163538,G2,UPI
