transaction_id,order_id,customer_id,merchant_id,amount_paise,currency,payment_method,gateway,created_at,completed_at,outcome,loss_flag,loss_amount,loss_type
TX_42_0_1861,ORD_TX_42_0_1861,CUST_222775_1083,MERCH_92018_55,170593,INR,UPI,G1,2023-12-05 16:06:00,2023-12-08 11:01:41.993101,SUCCESS,False,0,
TX_42_1_4373,ORD_TX_42_1_4373,CUST_216656_1213,MERCH_59115_95,376343,INR,CARD,G1,2023-06-25 12:34:00,2023-06-27 06:44:42.803850,SUCCESS,False,0,
TX_42_2_7324,ORD_TX_42_2_7324,CUST_779290_225,MERCH_92018_55,252589,INR,CARD,G2,2023-09-27 19:24:00,2023-09-29 07:14:20.943822,SUCCESS,False,0,
TX_42_4_2630,ORD_TX_42_4_2630,CUST_615693_1155,MERCH_69040_53,101173,INR,NETBANKING,G1,2023-02-27 09:31:00,2023-03-01 14:27:11.570382,SUCCESS,False,0,
TX_42_6_9112,ORD_TX_42_6_9112,CUST_289004_499,MERCH_58190_19,329865,INR,UPI,G2,2023-02-02 13:28:00,2023-02-04 15:10:31.550164,SUCCESS,True,329865,PAYMENT_STATE_DIVERGENCE
TX_42_8_8069,ORD_TX_42_8_8069,CUST_616479_1848,MERCH_54262_32,423385,INR,UPI,G1,2023-06-05 21:59:00,2023-06-07 03:26:15.864565,SUCCESS,False,0,
TX_42_11_2517,ORD_TX_42_11_2517,CUST_510925_1209,MERCH_96672_82,473087,INR,UPI,G1,2023-04-19 17:41:00,2023-04-21 04:42:29.634979,SUCCESS,False,0,
TX_42_12_1183,ORD_TX_42_12_1183,CUST_230544_1310,MERCH_88657_75,201036,INR,UPI,G1,2023-08-18 19:56:00,2023-08-19 21:54:13.166135,SUCCESS,False,0,
TX_42_13_7305,ORD_TX_42_13_7305,CUST_422918_350,MERCH_13343_86,98857,INR,CARD,G1,2023-04-13 10:56:00,2023-04-15 14:19:47.491038,SUCCESS,False,0,
TX_42_14_9185,ORD_TX_42_14_9185,CUST_389910_974,MERCH_30932_51,153581,INR,CARD,G1,2023-11-10 08:06:00,2023-11-12 19:20:05.929325,SUCCESS,False,0,
TX_42_15_8409,ORD_TX_42_15_8409,CUST_356713_344,MERCH_83969_9,146565,INR,UPI,G4,2023-03-30 04:08:00,2023-04-01 14:26:00.674647,SUCCESS,False,0,
TX_42_16_5939,ORD_TX_42_16_5939,CUST_178077_1625,MERCH_95616_38,555813,INR,UPI,G2,2023-05-28 01:33:00,2023-06-26 17:11:17.101136,SUCCESS,True,555813,CHARGEBACK
TX_42_19_8658,ORD_TX_42_19_8658,CUST_767304_1360,MERCH_31959_34,503137,INR,UPI,G2,2023-08-25 13:56:00,2023-08-25 13:56:26.635965,FAILED,False,0,
TX_42_20_2956,ORD_TX_42_20_2956,CUST_113261_1774,MERCH_25338_78,433465,INR,WALLET,G1,2023-02-24 06:21:00,2023-02-25 20:53:00.177301,SUCCESS,False,0,
